scrape_date,company,location,posted_time_ago,applicant_number,job_title,job_description,level,employment_type,job_function,industries
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024-02-26 01:58,Rebtel,"Stockholm, Stockholm County, Sweden",5 days ago,75 applicants,Data Engineer,"Global migration is a 21st-century reality. Whether people are fleeing from something or racing towards better opportunity, following love or seeking new experiences, more and more are living in different environments and in new ways. We celebrate the power of people coming together. That’s why we connect ambitious people abroad with their families and friends back home so they can support each other, and lead more enriched lives.With international calling, mobile top-up service and more, we design products with the needs of modern migrants in mind.Our ambitious team reflects our international audience. We are a diverse group of people from all over the world that come together every day—and we’re looking for others driven by the same desire to create meaningful products that bridge cultural and geographic distances.Location Stockholm, SwedenKey Responsibilities:Architect, Develop and Monitor Data Pipelines:Design, develop and maintain efficient and scalable data pipelines for seamless data flow into our Snowflake DWH.Activate data in other systems from DWH data (e.g., CRM, Customer support tool).Implement best practices for data architecture, ensuring reliability and performance.Monitor data ingestion, transformation and loading jobs, addressing failures and resolving incidents in the pipeline.Tech Stack Expertise:Utilize Snowflake, dbt and Looker to enable robust BI reporting and analytics.Leverage AWS technologies (Lambdas, S3, Kinesis) to enhance data processing capabilities for near real-time analytics.ELT Techniques:Dimensionally model data into Facts and Dimensions for direct use in BI and analytics.Ensure data accuracy and consistency through tests at relevant stages of the data pipeline.Cross-Functional Collaboration:Collaborate with cross-functional teams to understand data requirements and contribute to the development of analytics solutions.Work closely with data scientists, analysts and stakeholders to ensure alignment with business objectives.Innovation and Adaptability:Stay updated on industry trends and actively explore and integrate new tools and technologies.Conduct POCs and evaluations of new tools and technologies to contribute to Rebtel's future tech architecture.Implement strategic and forward-thinking solutions to realize the target state of Rebtel's technical landscape.What we seekExperience in building data pipelines that integrate with varied data sourcesExperience in ELT techniques and data warehouse modelingExcellent SQL skillsSome or all technologies: dbt, Python, AWS (or other cloud data platforms)Excellent collaboration and communication skillsAbility to thrive in a dynamic and innovative environmentBonus pointsExperience from a fast-paced company with digital products, marketing, and/or machine learningA degree in computer science or equivalentExperience with data visualization and reporting using tools like Looker or similarIdeal candidate3+ Years within Data Engineering Experience working with ELT methodologies and data warehousingA great team playerHappy trying out new techniques and technologiesWe are Rebtel - People from all around the world, as of now 23, countries and more to come. We believe in equal opportunity and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
        


        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,Internet Publishing
2024-02-26 01:58,Nymle,"Stockholm, Stockholm County, Sweden",5 days ago,,Data Platform Developer,"We are seeking a Data Platform Developer for our client.You will contribute to the building of the new Risk Data Platform, RAMP (Reliability, Availability, Maintainability, and Performance).You must be a Swedish, Nordic, EEA or EU citizen, be a permanent resident in Sweden or have an EU blue card issued in Sweden.Key Experience And Qualifications RequiredYou must have all of the following experience and competencies, which must be evidenced in your CV:Experience with data warehousing. SQL + Common integration tools, informatica, mainframe etc.Experience from TERADATA is very desirable.Valuable Experience And QualificationsThe following experience and proficiency will make you stand out, and must be evidenced in your CV:Experience with data vault and data modellingExperience with Teradata cloud.InformationStart date: ASAPDuration: 6 monthsHours per week: 40Utilisation: 100%Location: Stockholm (hybrid)Language: EnglishYour CV plays an important role in the evaluation. It must illustrate the specific skills relevant to this opportunity.We ideally need your CV in Word format, highlighting the specific skills relevant to this request. Word format CVs have a much higher pass rate in applicant tracking systems.For remote work, you must have a sufficient computing device for the role and a high-speed internet connection at your workspace.
        


        
            Show more
          

          



        
            Show less",Entry level,Full-time,Information Technology,Staffing and Recruiting
,,,,,,,,,,
2024-02-26 01:58,RELEX Solutions,"Stockholm, Stockholm County, Sweden",3 days ago,,Data & ML Engineer | RELEX Price & Promotions,"RELEX Solutions is at the forefront of developing data-driven supply chain and retail planning software. Our innovative platforms have the capacity to enhance adaptability, efficiency, and sustainability within the consumer goods and retail value chain. Our work makes a tangible impact, reducing waste, boosting profitability, and delivering value to our customers through our powerful software platform.Technology at RELEXOur technology stack is cloud-native, constructed with decoupled microservices, and adheres to modern engineering best practices. Our highly skilled tech team operates with speed and we consistently produce high-quality, maintainable software that addresses real customer challenges. Our forecasting, prediction, and planning software seamlessly scales to manage thousands of stores, millions of products, and billions of rows of raw data.We offer flexibility in our work arrangements, allowing you to choose between remote or in-office work. Respect and collaboration are core to our culture, and we prioritize a genuine work-life balance while ensuring we deliver an exceptional product.About The PositionAs Data & Machine Learning Engineer you will join our Data Platform Team, working together with a group of people dedicated to ensuring a rapid client system integration, robust data management, and an analytics engine that scales. Together we make sure that the product is user friendly, fast, powerful and intuitive.Join us as Data & Machine Learning Engineer, and this is some of what you’ll be doing:Design and deploy new models to iteratively improve Relex Promotionss business-critical models and systemsSupport and improve our existing model operations with deployment tools and pipelines Imagine new feature ideas and design data pipelines to incorporate them into our models Improve the way we evaluate and monitor our model and system performance.We’re looking for:An advanced degree in a quantitative field (e.g. computer science, stats, physics, engineering)Solid experience in software engineering in a production environmentExperience working with pricing and or promotion optimizationExperience designing and training machine learning models to solve critical business problemsExperience with the design and implementation of applications and tooling for consolidating and processing of big volumes of dataKnowledge about how to manipulate data to perform analysis, including querying data, defining metrics, or slicing and dicing data to evaluate a hypothesisTech we use:Analytical techniques ranging from complicated to “simple”: neural networks to Bayesian inference, state-space models and linear regressionPython, R, GoBigqueryCadence and Google Platform products for orchestration and data analysisKubernetes, ClickHouseAcross RELEX, our people are supported and rewarded. In Sweden, we go even further. As well as:Competitive salaryBenefits including pension, wellness allowance, health insurance and moreAn opportunity to work with great engineersFlexible remote; work set upModern office in central StockholmRELEXians can be found around the world, but here we’re based in Stockholm. Our office iscentral and offers a fantastic base to work or socialise; you can enjoy both in the same day with collaborative, supportive working and then wine tasting, yoga, ping pong, we have it all! Your future teammates enjoy the flexibility we’re known for and our calm, expert atmosphere where people come first.Being part of RELEX means being heard, feeling valued and knowing that you can be yourself because you belong. We believe in actions, not words, regarding diverse hiring and employment practices. We take DE&I seriously. We champion and benefit from global diversity. We’re creating and evolving our culture to welcome everyone and value every idea.We’re always ready to welcome new RELEXians to our team because your enthusiasm and expertise allow us to keep innovating and creating the future of planning for retail and consumer brands. Diversity helps us succeed, so we’re committed to creating an inclusive environment for everyone. If you’re ready to be part of our growth, apply nowApply now
        


        
            Show more
          

          



        
            Show less",Not Applicable,Full-time,Engineering and Information Technology,Software Development
2024-02-26 01:58,Anyfin,"Stockholm, Stockholm County, Sweden",2 days ago,,Software Engineer - Python Focus,"Who we areSince our start in 2017, we have provided smart tools that help put financial power back in the hands of the people – where we believe it belongs. Everything we do is based on one vision: to improve the world’s financial health.So far, we’ve helped Swedes, Finns, Norwegians, and Germans save millions by refinancing expensive consumer credits. But we aim higher. New markets, new tools, new products, and new ways of improving people’s financial lives. This means we need more brains and hearts to fuel our growth. We are an engineering and product company at the core and are now looking for a Software Engineer with a Python focus to join our Engineering team.As a Software Engineer Anyfin, you will be joining co-workers who are motivated, helpful, and open to change. You will work with the core financial data that enables our business and be part of building something truly big, where no day will be the same.More in detail, you will be responsible forTranslate business requirements to technical implementations for our Python based systems.Work closely and cooperate with our Data Scientists, Data Engineers, and Business Analysts.Always looking for ways to take Python standards at Anyfin to the next level.Who you areYou have a genuine passion for continuous learning and a limitless curiosity for exploring promising opportunities. You’re not afraid to shake things up, involving people with various backgrounds to reach for the best possible outcome. You can effectively prioritize and deliver important and time-sensitive projects within specified timelines. Launching to production energizes you, while you proactively think about how to bring things to the next level.In addition, we believe you possessA solid knowledge of Python and love working with it.Given the nature of the job, attention to detail and an urge to create solid, reliable solutions are key.You have an open mind and like people for what they are (yes, this belongs in the formal requirements section).We’re building the foundations of something truly big, so it’s extra important that you write clean and readable code.It is a plus if you have been working in the financial sector and have a degree in computer science but not a must.It is also a plus if you are comfortable with JavaScript.Experience in accounting or financial data and systems is also a plus but not a requirement.Exposure to cloud technologies, with knowledge of GCP being advantageous.What we offerWe offer you the chance to be part of something truly amazing. With strong backers and a world-class team, there is no limit to what we can achieve together. We were founded with a vision of challenging and transforming an industry that today is not taking into account the people it is supposed to serve.We are making a change. We have built a company of passionate doers with a curious urge to always do things better and smarter. We innovate, build, and iterate. We promise that you will be challenged, and pushed to develop your skill set and get the opportunity to work alongside amazing and bright colleagues.While we've had a good run so far it is what lies ahead that excites everyone that works here, and we are just getting started.Please note that for this particular role, we are unfortunately unable to provide visa sponsorship unless you are already in Sweden on a visa.We value an inclusive workplace where everyone is welcome for who they are no matter of gender, nationality, religion, or who they love.



        
            Show more
          

          



        
            Show less",Entry level,Full-time,Engineering and Information Technology,Financial Services
,,,,,,,,,,
2024-02-26 01:58,CareerAddict,"Stockholm, Stockholm County, Sweden",5 days ago,,Senior Data Engineer,"Senior Data Engineer - Stockholm, hybrid model - Full-time permanent - Up to 65-70K SEKI am currently representing a Senior Data Engineer position in Stockholm for a leading data SaaS platform.CompanyFor over the past decade, this business has been at the forefront of modern data solutions across Scandinavia serving clients in a variety of industries. The key products on offer is senior consulting services, SaaS platforms in AI and more! The team consists of a variety of specialists and are around 40 headcount at the moment. More excitingly, they have recently been acquired by a cloud specialist organisation after a huge merger so there is many new projects, clients and team members in the pipeline that makes this an amazing time to join them.The RoleAs a Senior Data Engineer, you will join the largest team currently in the business with a wide array of talent in place. The role will have a substantial focus on implementation with a few key clients in addition to a good culture addition overall.This role is firmly Stockholm-based and it would be highly advantageous for the candidate to speak Swedish. Hybrid model in place.Key ResponsibilitiesDeliver innovative platform solutions by ensuring data pipelines and data stores are high-performing.Respond efficiently to issues & challenges that arise through clients and ensure to minimise any data loss.Design, implement and then monitor data platforms aligned with the data pipeline objectives.Work closely with enterprise clients on the integration of cloud solutions and large-scale ETL pipelines.What You Will NeedMinimum 2-3 years consolidated data engineering experience, ideally a background in MS Azure.Strong understanding of AI concepts and frameworks.Background within software and/or data analytics, ideally experience with Python programming.Good knowledge of Azure Data Lake, Databricks, SQL and warehousing solutions.Excellent communication skills in English, Swedish is a big bonus.What To Do NowIf you are interested, apply now or get in touch on  (see below) for more information!
        


        
            Show more
          

          



        
            Show less",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting
2024-02-26 01:58,WADE Group,"Stockholm, Stockholm County, Sweden",3 days ago,,Vi älskar att göra data smartare!,"På WADE hjälper vi våra kunder att bli datadrivna. Vi har mycket hög kompetens inom Data/AI och har en god förståelse för hur Analytics kan möjliggöra framgång och affärsnytta för våra kunder. Vår konsultverksamhet växer och vi söker dig som verkligen vill vara med och bidra till att öka våra kunders affärsförståelse genom data. På riktigt.Solution Data Engineer 2.0Känner du att det är dags ta din roll som Data Engineer till nästa nivå? Ta första klivet till samma med oss och bli vår nya Solution Data Engineer 2.0!Vi tror att nästa generation av Data Engineer jobbar närmare verksamheten, med en förståelse för vilka insikter i verksamheten datan ska ge. Därför söker vi Dig som vill utvecklas tillsammans med oss för att skapa denna nya Solution Data Engineer 2.0.Vi vet och kan idag automatisera en del av det som man idag utför som Data Engineer, och vill därför erbjuda Dig möjligheten att arbete som Solution Data Engineer 2.0. Då får ni möjligheten att arbeta med våra analytiker och förse dem med rätt tekniska förutsättningar att kunna presentera rätt och strukturerad data till verksamheten hos våra kunder, men Du får då också utveckla nya lösningar inom AI och machine learning till våra kunder för att dra nytta av data på nya sätt.Nej du kommer inte överge tekniken så klart, men hos oss blir fokus på de sista 20% av komplexa transformationer som kräver t ex avancerad Python-utveckling. Resten av sin tid kan ni lägga på att lyfta våra kunder i sin Data/AI mognad med hjälp av machine learning och predikativ analys eller utforska användningsfall lämpade för Generativ AI.Som Solution Data Engineer 2.0 på WADE kommer du att arbeta med att utveckla effektiva dataflöden för att stödja våra kunders behov och lösa riktiga affärsproblem. Du kommer att arbeta med att utveckla och implementera lösningar som använder olika dataplattformar och tekniker för att hantera stora datamängder och integrera komplexa datakällor.Visst känns det spännande och helt rätt?Då tycker jag du ska trycka på knappen nedan, JAG OCKSÅSom Solution Data Engineer 2.0 hos WADE kommer du att:Får du möjlighet att skapa en ny geniration av Data Engineers, då vi vill att våra Data Engineers fokuserar på de sista 20% av komplexa transformationer som kräver t ex avancerad Python-utveckling.Ges möjligheten att forma och vara med och bidra till att WADE är det bolag du vill jobba för.Samarbeta med bland annat Microsoft och Databricks på en internationell och hög strategisk nivå.Få möjlighet att tillsammans med skarpa medarbetare arbeta i teknikens framkant inom Data/AI.Ha möjligheten till kontinuerlig utbildning och utveckling. Både som individ och med WADE och våra kunder.Erbjudas marknadsmässiga förmåner och villkor.Vi sitter på en central adress i Stockholm, även om arbetet till stor del sker hos kund. Livet på WADE innebär ett nära samarbete med Microsoft, Databricks och andra spännande intressenter. Vi bryr oss om varandra och brinner verkligen för att hjälpa företag och bli datadrivna och underlätta hantering av komplexa processer.WADE är ett konsultbolag inom Advanced Analytics (Data/AI), med kunder inom bland annat sjukvård och retail. Våra konsulter är experter på att hjälpa företag att bli datadrivna och snabba på deras data mognad. Vi vill nu fortsätta att växa vår affär med duktiga konsulter med passion för data och automatisering. För att verkligen accelerera det datadrivna hos våra kunder har vi också en egenutvecklad unik SaaS-produkt dataplattforms automation som är framtagen tillsammans med Microsoft och Databricks. Denna bidrar också till att vi ser ett ökat behov av konsulttjänster inom Data/AI och automation.Vi samarbetar med Friday Vibes AB i denna rekryteringsprocess. Urval och intervjuer sker löpande.



        
            Show more
          

          



        
            Show less",Entry level,Full-time,Other,IT Services and IT Consulting
,,,,,,,,,,
